movie_title,actor_count,actors_list
12 Angry Men,14,"Henry_Fonda, Lee_J._Cobb, Martin_Balsam, John_Fiedler, E.G._Marshall, Jack_Klugman, Edward_Binns, Jack_Warden, Joseph_Sweeney, Ed_Begley, George_Voskovec, Robert_Webber, Rudy_Bond, Billy_Nelson"
12 Years a Slave,15,"Chiwetel_Ejiofor, Michael_Kenneth_Williams, Michael_Fassbender, Dwight_Henry, Bryan_Batt, Ashley_Dyke, Kelsey_Scott, Quvenzhané_Wallis, Tony_Bentley, Scoot_McNairy, Taran_Killam, Christopher_Berry, Bill_Camp, Chris_Chalk, Craig_Tate"
12th Fail,11,"Vikrant_Massey, Medha_Shankr, Anant_Joshi, Anshuman_Pushkar, Geeta_Agrawal_Sharma, Harish_Khanna, Sarita_Joshi, Priyanshu_Chatterjee, Darius_Chinoy, Sam_Mohan, Sanjay_Bishnoi"
1917,16,"Dean-Charles_Chapman, George_MacKay, Daniel_Mays, Colin_Firth, Andy_Apollo, Paul_Tinto, Josef_Davies, Billy_Postlethwaite, Gabriel_Akuwudike, Andrew_Scott, Spike_Leighton, Robert_Maaser, Gerran_Howell, Adam_Hugill, Mark_Strong, Richard_McCabe"
2001 A Space Odyssey,17,"Keir_Dullea, Gary_Lockwood, William_Sylvester, Daniel_Richter, Leonard_Rossiter, Margaret_Tyzack, Robert_Beatty, Sean_Sullivan, Douglas_Rain, Bill_Weston, Ed_Bishop, Glenn_Beck, Alan_Gifford, Ann_Gillis, Edwina_Carroll, Penny_Brahms, Heather_Downham"
3 Idiots,16,"Aamir_Khan, Madhavan, Mona_Singh, Sharman_Joshi, Kareena_Kapoor, Boman_Irani, Omi_Vaidya, Jaaved_Jaaferi, Parikshit_Sahni, Rahul_Kumar, Amardeep_Jha, Farida_Dadi, Mukund_Bhatt, Ali_Fazal, Arun_Bali, Dushyant_Wagh"
A Beautiful Mind,15,"Russell_Crowe, Ed_Harris, Jennifer_Connelly, Christopher_Plummer, Paul_Bettany, Adam_Goldberg, Josh_Lucas, Anthony_Rapp, Jason_Gray-Stanford, Judd_Hirsch, Austin_Pendleton, Vivien_Cardone, Jillie_Simon, Tanya_Clarke, Thomas_F._Walsh"
A Clockwork Orange,15,"Malcolm_McDowell, Patrick_Magee, Michael_Bates, Warren_Clarke, John_Clive, Adrienne_Corri, Carl_Duering, Clive_Francis, Miriam_Karlin, Aubrey_Morris, Godfrey_Quigley, Sheila_Raynor, Madge_Ryan, John_Savident, Anthony_Sharp"
A Separation,10,"Payman_Maadi, Leila_Hatami, Sareh_Bayat, Shahab_Hosseini, Sarina_Farhadi, Babak_Karimi, Ali-Asghar_Shahbazi, Kimia_Hosseini, Shirin_Yazdanbakhsh, Merila_Zare'i"
A Silent Voice The Movie,6,"Miyu_Irino, Saori_Hayami, Aoi_Yûki, Yui_Ishikawa, Megumi_Han, Mayu_Matsuoka"
